ID  ※重複不可　バージョンアップで称号を追加した時にずれないようにするためのもの,"word
称号用ワード

※英語追加時、半角スペースを入れた称号は作成しない。

※英語関連は単語の最初は大文字","furigana
ふりがな","publish_type
配布・販売種別

 'shop'
 => '一般称号(販売)',
 'login'     
=> '一般称号(期間内ログインで配布)',
'medal'    
 => 'メダル称号',
 'record'    
=> '特別称号(実績に応じて配布)',
 'evet'     
 => '特別称号(イベント時プレイにより配布)'
 'special'  
 => '特別称号(手動配布)',
","index
販売・設定用索引キー

aa:あ行
ka:か行
sa:さ行
taた行
naな行
haは行
maま行
yaや行
raら行
waわ行
a-z : アルファベット
number:数字
symbol:記号
other:その他
medal:メダル
special:特別","sub_index
サブ索引キー

あ,い,う,え,お などの2番目の索引。indexがひらがなのもののみ記入してください

あかさたな・・
a,ka,sa,ta,na,. ..
いきしちに・・
i,ki,si,ti,ni, ...
うくすつぬ・・
u,ku,su,tu,nu...
・・・","publish_start
配布開始日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","publish_end
配布終了日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","event_key
対応するイベントNO

「特別称号(イベント時プレイにより配布)」で使用

※イベントフラグと
連動しますので、これ単独で設定をしても配布されることはありません

※本来はNOが入るがとりあえず、今は名前で代用","medal_key
対応するメダルNO

「メダル称号」で使用<br />

※メダルフラグと連動しますので、これ単独で設
定をしても配布されることはありません","record_key
対応する実績条件キー

「特別称号(実績に応じて配布)」で使用


※本来は条件キーが入るが、今は名前で代用","publish_status
配布ステータス

1:配布中
0:配布停止

一般称号（販売用）とイベント称号の時に使用。
これが0の時には、販売や配布を停止する

後から追加予定のものはここを0にして書いておいて頂いても大丈夫です","use_status
使用ステータス

1:称号に使用可
0:不可

0の場合には称号設定画面で選択できない

基本的には使うことはない想定のステータスだが、念のため用意

後から追加予定のものはここを0にして書いておいても大丈夫です",タイムスタンプ,メモ,パッチDLC番号,DLC番号,"称号プレート番号(仮)
1xxy
xx … キャラ番号(chrxx)
y … 0銅 1銀 2金 3虹",アンロック用文字列,キャラ番号(特別称号フィルタ),DLC番号
28,28,28,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
29,29,29,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
30,30,30,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
31,31,31,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
32,32,32,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
33,33,33,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
34,34,34,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
35,35,35,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
36,36,36,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
37,37,37,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
38,38,38,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
39,39,39,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
40,40,40,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
41,41,41,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
42,42,42,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
43,43,43,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
44,44,44,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
45,45,45,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
46,46,46,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
47,47,47,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
48,48,48,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
49,49,49,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
50,50,50,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
51,51,51,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
52,52,52,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
53,53,53,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
54,54,54,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
55,55,55,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
56,56,56,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
57,57,57,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
58,58,58,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
59,59,59,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
60,60,60,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
61,61,61,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
62,62,62,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
63,63,63,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
64,64,64,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
65,65,65,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
66,66,66,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
67,67,67,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
68,68,68,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
69,69,69,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
70,70,70,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
71,71,71,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
72,72,72,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
73,73,73,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
74,74,74,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
75,75,75,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
76,76,76,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
77,77,77,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
78,78,78,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
79,79,79,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
80,80,80,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
81,81,81,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
82,82,82,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
83,83,83,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
84,84,84,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
85,85,85,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
86,86,86,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
87,87,87,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
88,88,88,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
89,89,89,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
90,90,90,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
91,91,91,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
92,92,92,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
93,93,93,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
94,94,94,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
95,95,95,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
96,96,96,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
97,97,97,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
98,98,98,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
99,99,99,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
100,100,100,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
101,1000,1000,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
102,10000,10000,shop,number,,,,,,,1,1,,,0,0,-1,-1,-1,0
103,－,－,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
104,ー,ー,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
105,…,…,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
106,...,...,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
107,!,!,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
108,?,?,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
109,＠,＠,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
110,@,@,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
111,＋,＋,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
112,÷,÷,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
113,×,×,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
114,＝,＝,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
115,☆,☆,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
116,♀,♀,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
117,♂,♂,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
118,♪,♪,shop,symbol,,,,,,,1,1,,,0,0,-1,-1,-1,0
119,a,a,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
120,A,A,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
121,A級,Aきゅう,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
122,Abbreviated,Abbreviated,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
123,Abnormal,Abnormal,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
124,About,About,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
125,Abundance,Abundance,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
126,Academy,Academy,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
127,Accelerate,Accelerate,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
128,Accepting,Accepting,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
129,Ace,Ace,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
130,Actor,Actor,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
131,Actress,Actress,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
132,Acupuncture,Acupuncture,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
133,Addition,Addition,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
134,Additionally,Additionally,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
135,Advancement,Advancement,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
136,Adventurer,Adventurer,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
137,Aegis,Aegis,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
138,Afraid,Afraid,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
139,Aftermath,Aftermath,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
140,Afterwards,Afterwards,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
141,Again,Again,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
142,Against,Against,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
143,Agency,Agency,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
144,Aggression,Aggression,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
145,Agitation,Agitation,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
146,Air,Air,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
147,AKIHA,AKIHA,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
148,Alchemist,Alchemist,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
149,All,All,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
150,Almost,Almost,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
151,Alone,Alone,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
152,Also,Also,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
153,Altar,Altar,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
154,Alter,Alter,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
155,Always,Always,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
156,Amazist,Amazist,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
157,Amber,Amber,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
158,Amethyst,Amethyst,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
159,Ancestors,Ancestors,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
160,Ancient,Ancient,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
161,And,And,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
162,Angel,Angel,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
163,Angry,Angry,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
164,Animal,Animal,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
165,Ankh,Ankh,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
166,Annihilate,Annihilate,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
167,Anniversary,Anniversary,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
168,Anti,Anti,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
169,Anywhere,Anywhere,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
4113,AOKO,AOKO,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
4114,AOZAKI,AOZAKI,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
170,Apathetic,Apathetic,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
171,Apocalypse,Apocalypse,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
172,Apostle,Apostle,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
173,Apparition,Apparition,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
174,Aquamarine,Aquamarine,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
175,Arbiter,Arbiter,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
176,Arbitrator,Arbitrator,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
177,Archangel,Archangel,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
178,Archer,Archer,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
179,ARCUEID,ARCUEID,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
180,Area,Area,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
181,Aria,Aria,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
4115,ARIMA,ARIMA,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
182,Arise,Arise,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
183,Ark,Ark,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
184,Around,Around,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
185,Arrow,Arrow,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
186,Arrows,Arrows,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
187,Art,Art,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
188,Artisan,Artisan,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
189,As,As,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
190,Asagami,Asagami,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
191,ASAP,ASAP,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
192,Ash,Ash,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
193,Assassin,Assassin,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
194,Assault,Assault,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
195,Association,Association,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
196,Asteroid,Asteroid,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
197,At,At,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
198,Aura,Aura,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
199,Autocrat,Autocrat,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
200,Autumn,Autumn,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
201,Avalon,Avalon,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
202,Avarice,Avarice,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
203,Avatar,Avatar,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
204,Azrael,Azrael,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
205,Azure,Azure,shop,a,,,,,,,1,1,,,0,0,-1,-1,-1,0
206,b,b,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
207,B,B,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
208,B級,Ｂきゅう,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
209,Baby,Baby,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
210,Balance,Balance,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
211,Ballad,Ballad,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
212,Baller,Baller,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
213,Banish,Banish,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
214,Bard,Bard,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
215,Baron,Baron,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
216,Barrier,Barrier,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
217,Basilica,Basilica,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
218,Bastard,Bastard,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
219,Battle,Battle,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
220,Be,Be,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
221,Bear,Bear,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
222,Beast,Beast,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
223,Because,Because,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
224,Bee,Bee,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
225,Beginning,Beginning,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
226,Behind,Behind,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
227,Bend,Bend,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
228,Berserker,Berserker,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
4175,BESTINO,BESTINO,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
229,Bewitching,Bewitching,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
230,Bias,Bias,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
231,Big,Big,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
232,Bigwig,Bigwig,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
233,Bird,Bird,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
234,Blade,Blade,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
235,Blank,Blank,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
236,Blaster,Blaster,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
237,Blaze,Blaze,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
238,Blitz,Blitz,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
239,Blood,Blood,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
240,Bloom,Bloom,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
241,Blossom,Blossom,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
242,Blow,Blow,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
243,Bluish,Bluish,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
244,Bodhi,Bodhi,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
245,Bolt,Bolt,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
246,Bondage,Bondage,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
247,Bones,Bones,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
248,Book,Book,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
249,Boss,Boss,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
250,Both,Both,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
251,Boundary,Boundary,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
252,Bow,Bow,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
253,Boy,Boy,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
254,Brassy,Brassy,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
255,Brat,Brat,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
256,Brave,Brave,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
257,Break,Break,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
258,Breaker,Breaker,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
259,Breath,Breath,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
260,Breeze,Breeze,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
261,Brilliant,Brilliant,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
262,Bringer,Bringer,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
263,Bro,Bro,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
264,Brother,Brother,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
265,BROTHER!,BROTHER!,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
266,BRUNESTUD,BRUNESTUD,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
267,Buckler,Buckler,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
268,Buff,Buff,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
269,Burden,Burden,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
270,Burial,Burial,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
271,Burst,Burst,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
272,Buster,Buster,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
273,But,But,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
274,Butler,Butler,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
275,BWAHAHAHA!,BWAHAHAHA!,shop,b,,,,,,,1,1,,,0,0,-1,-1,-1,0
276,c,c,shop,c,,,,,,,1,1,,,0,0,-1,-1,-1,0
277,C,C,shop,c,,,,,,,1,1,,,0,0,-1,-1,-1,0
278,C級,Ｃきゅう,shop,c,,,,,,,1,1,,,0,0,-1,-1,-1,0
279,Caduceus,Caduceus,shop,c,,,,,,,1,1,,,0,0,-1,-1,-1,0
280,Cage,Cage,shop,c,,,,,,,1,1,,,0,0,-1,-1,-1,0
281,Calm,Calm,shop,c,,,,,,,1,1,,,0,0,-1,-1,-1,0
